"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"4";"6";"undirected"
"5";"6";"undirected"
"5";"7";"undirected"
"2";"7";"undirected"
"6";"8";"undirected"
"5";"8";"undirected"
"5";"9";"undirected"
"1";"9";"undirected"
"5";"10";"undirected"
"2";"10";"undirected"
"5";"11";"undirected"
"2";"11";"undirected"
"7";"12";"undirected"
"10";"12";"undirected"
"11";"13";"undirected"
"6";"13";"undirected"
"5";"14";"undirected"
"12";"14";"undirected"
"14";"15";"undirected"
"1";"15";"undirected"
"2";"16";"undirected"
"5";"16";"undirected"
"10";"17";"undirected"
"11";"17";"undirected"
"12";"18";"undirected"
"13";"18";"undirected"
"5";"19";"undirected"
"13";"19";"undirected"
"19";"20";"undirected"
"10";"20";"undirected"
"5";"21";"undirected"
"10";"21";"undirected"
"12";"22";"undirected"
"8";"22";"undirected"
"14";"23";"undirected"
"4";"23";"undirected"
"6";"24";"undirected"
"11";"24";"undirected"
"12";"25";"undirected"
"8";"25";"undirected"
"8";"26";"undirected"
"20";"26";"undirected"
"11";"27";"undirected"
"20";"27";"undirected"
"6";"28";"undirected"
"12";"28";"undirected"
"8";"29";"undirected"
"3";"29";"undirected"
"4";"30";"undirected"
"21";"30";"undirected"
"6";"31";"undirected"
"20";"31";"undirected"
"31";"32";"undirected"
"6";"32";"undirected"
"4";"33";"undirected"
"13";"33";"undirected"
"33";"34";"undirected"
"28";"34";"undirected"
"11";"35";"undirected"
"5";"35";"undirected"
"31";"36";"undirected"
"7";"36";"undirected"
"7";"37";"undirected"
"10";"37";"undirected"
"2";"38";"undirected"
"28";"38";"undirected"
"26";"39";"undirected"
"2";"39";"undirected"
"17";"40";"undirected"
"33";"40";"undirected"
"19";"41";"undirected"
"39";"41";"undirected"
"37";"42";"undirected"
"3";"42";"undirected"
"28";"43";"undirected"
"7";"43";"undirected"
"1";"44";"undirected"
"11";"44";"undirected"
"5";"45";"undirected"
"10";"45";"undirected"
"16";"46";"undirected"
"8";"46";"undirected"
"30";"47";"undirected"
"2";"47";"undirected"
"14";"48";"undirected"
"43";"48";"undirected"
"10";"49";"undirected"
"6";"49";"undirected"
"26";"50";"undirected"
"11";"50";"undirected"
"24";"51";"undirected"
"5";"51";"undirected"
"30";"52";"undirected"
"12";"52";"undirected"
"14";"53";"undirected"
"2";"53";"undirected"
"6";"54";"undirected"
"51";"54";"undirected"
"11";"55";"undirected"
"25";"55";"undirected"
"2";"56";"undirected"
"7";"56";"undirected"
"18";"57";"undirected"
"48";"57";"undirected"
"14";"58";"undirected"
"41";"58";"undirected"
"52";"59";"undirected"
"57";"59";"undirected"
"7";"60";"undirected"
"13";"60";"undirected"
"14";"61";"undirected"
"39";"61";"undirected"
"58";"62";"undirected"
"19";"62";"undirected"
"58";"63";"undirected"
"11";"63";"undirected"
"41";"64";"undirected"
"2";"64";"undirected"
"61";"65";"undirected"
"42";"65";"undirected"
"16";"66";"undirected"
"51";"66";"undirected"
"62";"67";"undirected"
"8";"67";"undirected"
"5";"68";"undirected"
"16";"68";"undirected"
"14";"69";"undirected"
"31";"69";"undirected"
"2";"70";"undirected"
"45";"70";"undirected"
"3";"71";"undirected"
"21";"71";"undirected"
"41";"72";"undirected"
"11";"72";"undirected"
"8";"73";"undirected"
"5";"73";"undirected"
"5";"74";"undirected"
"62";"74";"undirected"
"2";"75";"undirected"
"42";"75";"undirected"
"12";"76";"undirected"
"69";"76";"undirected"
"61";"77";"undirected"
"70";"77";"undirected"
"6";"78";"undirected"
"65";"78";"undirected"
"76";"79";"undirected"
"14";"79";"undirected"
"39";"80";"undirected"
"11";"80";"undirected"
"45";"81";"undirected"
"46";"81";"undirected"
"78";"82";"undirected"
"36";"82";"undirected"
"12";"83";"undirected"
"7";"83";"undirected"
"27";"84";"undirected"
"19";"84";"undirected"
"13";"85";"undirected"
"49";"85";"undirected"
"2";"86";"undirected"
"30";"86";"undirected"
"2";"87";"undirected"
"5";"87";"undirected"
"5";"88";"undirected"
"16";"88";"undirected"
"14";"89";"undirected"
"7";"89";"undirected"
"41";"90";"undirected"
"77";"90";"undirected"
"16";"91";"undirected"
"3";"91";"undirected"
"8";"92";"undirected"
"42";"92";"undirected"
"20";"93";"undirected"
"28";"93";"undirected"
"73";"94";"undirected"
"82";"94";"undirected"
"11";"95";"undirected"
"3";"95";"undirected"
"4";"96";"undirected"
"6";"96";"undirected"
"58";"97";"undirected"
"55";"97";"undirected"
"91";"98";"undirected"
"28";"98";"undirected"
"8";"99";"undirected"
"28";"99";"undirected"
"3";"100";"undirected"
"73";"100";"undirected"
"2";"101";"undirected"
"54";"101";"undirected"
"94";"102";"undirected"
"2";"102";"undirected"
"31";"103";"undirected"
"75";"103";"undirected"
"6";"104";"undirected"
"31";"104";"undirected"
"3";"105";"undirected"
"7";"105";"undirected"
"8";"106";"undirected"
"75";"106";"undirected"
"6";"107";"undirected"
"75";"107";"undirected"
"6";"108";"undirected"
"7";"108";"undirected"
"10";"109";"undirected"
"29";"109";"undirected"
"65";"110";"undirected"
"7";"110";"undirected"
"60";"111";"undirected"
"57";"111";"undirected"
"88";"112";"undirected"
"99";"112";"undirected"
"7";"113";"undirected"
"90";"113";"undirected"
"54";"114";"undirected"
"28";"114";"undirected"
"11";"115";"undirected"
"30";"115";"undirected"
"6";"116";"undirected"
"74";"116";"undirected"
"51";"117";"undirected"
"41";"117";"undirected"
"1";"118";"undirected"
"27";"118";"undirected"
"99";"119";"undirected"
"57";"119";"undirected"
"69";"120";"undirected"
"45";"120";"undirected"
"29";"121";"undirected"
"30";"121";"undirected"
"121";"122";"undirected"
"1";"122";"undirected"
"3";"123";"undirected"
"21";"123";"undirected"
"119";"124";"undirected"
"13";"124";"undirected"
"52";"125";"undirected"
"11";"125";"undirected"
"18";"126";"undirected"
"31";"126";"undirected"
"28";"127";"undirected"
"31";"127";"undirected"
"11";"128";"undirected"
"77";"128";"undirected"
"8";"129";"undirected"
"13";"129";"undirected"
"5";"130";"undirected"
"126";"130";"undirected"
"88";"131";"undirected"
"105";"131";"undirected"
"5";"132";"undirected"
"42";"132";"undirected"
"27";"133";"undirected"
"110";"133";"undirected"
"12";"134";"undirected"
"5";"134";"undirected"
"41";"135";"undirected"
"42";"135";"undirected"
"60";"136";"undirected"
"57";"136";"undirected"
"82";"137";"undirected"
"75";"137";"undirected"
"20";"138";"undirected"
"41";"138";"undirected"
"62";"139";"undirected"
"83";"139";"undirected"
"12";"140";"undirected"
"123";"140";"undirected"
"57";"141";"undirected"
"8";"141";"undirected"
"21";"142";"undirected"
"80";"142";"undirected"
"110";"143";"undirected"
"3";"143";"undirected"
"14";"144";"undirected"
"1";"144";"undirected"
"137";"145";"undirected"
"12";"145";"undirected"
"2";"146";"undirected"
"63";"146";"undirected"
"51";"147";"undirected"
"14";"147";"undirected"
"28";"148";"undirected"
"38";"148";"undirected"
"19";"149";"undirected"
"11";"149";"undirected"
"10";"150";"undirected"
"29";"150";"undirected"
"94";"151";"undirected"
"108";"151";"undirected"
"27";"152";"undirected"
"76";"152";"undirected"
"57";"153";"undirected"
"1";"153";"undirected"
"30";"154";"undirected"
"6";"154";"undirected"
"45";"155";"undirected"
"104";"155";"undirected"
"123";"156";"undirected"
"53";"156";"undirected"
"4";"157";"undirected"
"28";"157";"undirected"
"16";"158";"undirected"
"11";"158";"undirected"
"66";"159";"undirected"
"8";"159";"undirected"
"44";"160";"undirected"
"13";"160";"undirected"
"129";"161";"undirected"
"138";"161";"undirected"
"27";"162";"undirected"
"60";"162";"undirected"
"128";"163";"undirected"
"127";"163";"undirected"
"32";"164";"undirected"
"29";"164";"undirected"
"12";"165";"undirected"
"47";"165";"undirected"
"36";"166";"undirected"
"156";"166";"undirected"
"13";"167";"undirected"
"19";"167";"undirected"
"36";"168";"undirected"
"58";"168";"undirected"
"28";"169";"undirected"
"54";"169";"undirected"
"31";"170";"undirected"
"64";"170";"undirected"
"75";"171";"undirected"
"45";"171";"undirected"
"74";"172";"undirected"
"8";"172";"undirected"
"77";"173";"undirected"
"73";"173";"undirected"
"109";"174";"undirected"
"36";"174";"undirected"
"42";"175";"undirected"
"158";"175";"undirected"
"16";"176";"undirected"
"104";"176";"undirected"
"111";"177";"undirected"
"149";"177";"undirected"
"3";"178";"undirected"
"122";"178";"undirected"
"52";"179";"undirected"
"63";"179";"undirected"
"75";"180";"undirected"
"35";"180";"undirected"
"5";"181";"undirected"
"176";"181";"undirected"
"61";"182";"undirected"
"5";"182";"undirected"
"6";"183";"undirected"
"78";"183";"undirected"
"110";"184";"undirected"
"7";"184";"undirected"
"95";"185";"undirected"
"22";"185";"undirected"
"51";"186";"undirected"
"80";"186";"undirected"
"82";"187";"undirected"
"145";"187";"undirected"
"75";"188";"undirected"
"6";"188";"undirected"
"107";"189";"undirected"
"108";"189";"undirected"
