"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"4";"6";"undirected"
"6";"7";"undirected"
"6";"8";"undirected"
"6";"9";"undirected"
"8";"10";"undirected"
"4";"11";"undirected"
"6";"12";"undirected"
"8";"13";"undirected"
"2";"14";"undirected"
"7";"15";"undirected"
"4";"16";"undirected"
"4";"17";"undirected"
"8";"18";"undirected"
"8";"19";"undirected"
"17";"20";"undirected"
"17";"21";"undirected"
"18";"22";"undirected"
"21";"23";"undirected"
"2";"24";"undirected"
"15";"25";"undirected"
"17";"26";"undirected"
"19";"27";"undirected"
"26";"28";"undirected"
"14";"29";"undirected"
"8";"30";"undirected"
"4";"31";"undirected"
"15";"32";"undirected"
"4";"33";"undirected"
"6";"34";"undirected"
"4";"35";"undirected"
"21";"36";"undirected"
"5";"37";"undirected"
"17";"38";"undirected"
"30";"39";"undirected"
"30";"40";"undirected"
"17";"41";"undirected"
"6";"42";"undirected"
"4";"43";"undirected"
"6";"44";"undirected"
"6";"45";"undirected"
"29";"46";"undirected"
"45";"47";"undirected"
"6";"48";"undirected"
"5";"49";"undirected"
"41";"50";"undirected"
"43";"51";"undirected"
"10";"52";"undirected"
"2";"53";"undirected"
"39";"54";"undirected"
"36";"55";"undirected"
"23";"56";"undirected"
"26";"57";"undirected"
"55";"58";"undirected"
"52";"59";"undirected"
"4";"60";"undirected"
"39";"61";"undirected"
"11";"62";"undirected"
"1";"63";"undirected"
"6";"64";"undirected"
"17";"65";"undirected"
"7";"66";"undirected"
"26";"67";"undirected"
"23";"68";"undirected"
"12";"69";"undirected"
"45";"70";"undirected"
"6";"71";"undirected"
"2";"72";"undirected"
"21";"73";"undirected"
"15";"74";"undirected"
"39";"75";"undirected"
"17";"76";"undirected"
"8";"77";"undirected"
"45";"78";"undirected"
"17";"79";"undirected"
"75";"80";"undirected"
"15";"81";"undirected"
"38";"82";"undirected"
"11";"83";"undirected"
"27";"84";"undirected"
"71";"85";"undirected"
"21";"86";"undirected"
"62";"87";"undirected"
"78";"88";"undirected"
"11";"89";"undirected"
"6";"90";"undirected"
"85";"91";"undirected"
"3";"92";"undirected"
"88";"93";"undirected"
"61";"94";"undirected"
"22";"95";"undirected"
"88";"96";"undirected"
"11";"97";"undirected"
"23";"98";"undirected"
"4";"99";"undirected"
"39";"100";"undirected"
"30";"101";"undirected"
"11";"102";"undirected"
"39";"103";"undirected"
"17";"104";"undirected"
"23";"105";"undirected"
"96";"106";"undirected"
"6";"107";"undirected"
"8";"108";"undirected"
"105";"109";"undirected"
"19";"110";"undirected"
"54";"111";"undirected"
"15";"112";"undirected"
"62";"113";"undirected"
"64";"114";"undirected"
"109";"115";"undirected"
"45";"116";"undirected"
"37";"117";"undirected"
"26";"118";"undirected"
"17";"119";"undirected"
"69";"120";"undirected"
"30";"121";"undirected"
"105";"122";"undirected"
"21";"123";"undirected"
"4";"124";"undirected"
"38";"125";"undirected"
"11";"126";"undirected"
"4";"127";"undirected"
"100";"128";"undirected"
"113";"129";"undirected"
"4";"130";"undirected"
"5";"131";"undirected"
"7";"132";"undirected"
"79";"133";"undirected"
"4";"134";"undirected"
"76";"135";"undirected"
"126";"136";"undirected"
"39";"137";"undirected"
"4";"138";"undirected"
"102";"139";"undirected"
"2";"140";"undirected"
"45";"141";"undirected"
"76";"142";"undirected"
"132";"143";"undirected"
"43";"144";"undirected"
"105";"145";"undirected"
"79";"146";"undirected"
"4";"147";"undirected"
"10";"148";"undirected"
"11";"149";"undirected"
"105";"150";"undirected"
"8";"151";"undirected"
"126";"152";"undirected"
"126";"153";"undirected"
"105";"154";"undirected"
"15";"155";"undirected"
"41";"156";"undirected"
"85";"157";"undirected"
"82";"158";"undirected"
"125";"159";"undirected"
"142";"160";"undirected"
"76";"161";"undirected"
"39";"162";"undirected"
"17";"163";"undirected"
"43";"164";"undirected"
"8";"165";"undirected"
"72";"166";"undirected"
"39";"167";"undirected"
"62";"168";"undirected"
"17";"169";"undirected"
"4";"170";"undirected"
"54";"171";"undirected"
"21";"172";"undirected"
"42";"173";"undirected"
"43";"174";"undirected"
"4";"175";"undirected"
"29";"176";"undirected"
"169";"177";"undirected"
"74";"178";"undirected"
"26";"179";"undirected"
"40";"180";"undirected"
"26";"181";"undirected"
"109";"182";"undirected"
"11";"183";"undirected"
"19";"184";"undirected"
"7";"185";"undirected"
"181";"186";"undirected"
"125";"187";"undirected"
"38";"188";"undirected"
"105";"189";"undirected"
"157";"190";"undirected"
"57";"191";"undirected"
"84";"192";"undirected"
"81";"193";"undirected"
"106";"194";"undirected"
"28";"195";"undirected"
"116";"196";"undirected"
"17";"197";"undirected"
"174";"198";"undirected"
"29";"199";"undirected"
"113";"200";"undirected"
"4";"201";"undirected"
"88";"202";"undirected"
"2";"203";"undirected"
"76";"204";"undirected"
"88";"205";"undirected"
"4";"206";"undirected"
"40";"207";"undirected"
"54";"208";"undirected"
"15";"209";"undirected"
"40";"210";"undirected"
"131";"211";"undirected"
"12";"212";"undirected"
"151";"213";"undirected"
"37";"214";"undirected"
"1";"215";"undirected"
"41";"216";"undirected"
"8";"217";"undirected"
"147";"218";"undirected"
"75";"219";"undirected"
"5";"220";"undirected"
"39";"221";"undirected"
"23";"222";"undirected"
"78";"223";"undirected"
"92";"224";"undirected"
"11";"225";"undirected"
"62";"226";"undirected"
"182";"227";"undirected"
"4";"228";"undirected"
"85";"229";"undirected"
"109";"230";"undirected"
"182";"231";"undirected"
"181";"232";"undirected"
"45";"233";"undirected"
"41";"234";"undirected"
"17";"235";"undirected"
"67";"236";"undirected"
"52";"237";"undirected"
"223";"238";"undirected"
"4";"239";"undirected"
"28";"240";"undirected"
"52";"241";"undirected"
"84";"242";"undirected"
"40";"243";"undirected"
"78";"244";"undirected"
"93";"245";"undirected"
"109";"246";"undirected"
"50";"247";"undirected"
"4";"248";"undirected"
"224";"249";"undirected"
"23";"250";"undirected"
"157";"251";"undirected"
"4";"252";"undirected"
"88";"253";"undirected"
"105";"254";"undirected"
"7";"255";"undirected"
"248";"256";"undirected"
"7";"257";"undirected"
"110";"258";"undirected"
"21";"259";"undirected"
"4";"260";"undirected"
"113";"261";"undirected"
"202";"262";"undirected"
"105";"263";"undirected"
"8";"264";"undirected"
"152";"265";"undirected"
"23";"266";"undirected"
"4";"267";"undirected"
"15";"268";"undirected"
"193";"269";"undirected"
"196";"270";"undirected"
"88";"271";"undirected"
"190";"272";"undirected"
"28";"273";"undirected"
"40";"274";"undirected"
"85";"275";"undirected"
"275";"276";"undirected"
"45";"277";"undirected"
"84";"278";"undirected"
"127";"279";"undirected"
"36";"280";"undirected"
"21";"281";"undirected"
"184";"282";"undirected"
"275";"283";"undirected"
"23";"284";"undirected"
"136";"285";"undirected"
"109";"286";"undirected"
"56";"287";"undirected"
"6";"288";"undirected"
"8";"289";"undirected"
"271";"290";"undirected"
"284";"291";"undirected"
"238";"292";"undirected"
"27";"293";"undirected"
"1";"294";"undirected"
"134";"295";"undirected"
"157";"296";"undirected"
"119";"297";"undirected"
"12";"298";"undirected"
"1";"299";"undirected"
"82";"300";"undirected"
"40";"301";"undirected"
"17";"302";"undirected"
"7";"303";"undirected"
"46";"304";"undirected"
"19";"305";"undirected"
"75";"306";"undirected"
"96";"307";"undirected"
"298";"308";"undirected"
"159";"309";"undirected"
"167";"310";"undirected"
"17";"311";"undirected"
"115";"312";"undirected"
"106";"313";"undirected"
"202";"314";"undirected"
"4";"315";"undirected"
"288";"316";"undirected"
"127";"317";"undirected"
"288";"318";"undirected"
"249";"319";"undirected"
"36";"320";"undirected"
"309";"321";"undirected"
"207";"322";"undirected"
"71";"323";"undirected"
"59";"324";"undirected"
"7";"325";"undirected"
"281";"326";"undirected"
"79";"327";"undirected"
"281";"328";"undirected"
"11";"329";"undirected"
"116";"330";"undirected"
"40";"331";"undirected"
"219";"332";"undirected"
"15";"333";"undirected"
"277";"334";"undirected"
"231";"335";"undirected"
"30";"336";"undirected"
"102";"337";"undirected"
"98";"338";"undirected"
"187";"339";"undirected"
"52";"340";"undirected"
"137";"341";"undirected"
"87";"342";"undirected"
"297";"343";"undirected"
"313";"344";"undirected"
"184";"345";"undirected"
"17";"346";"undirected"
"105";"347";"undirected"
"39";"348";"undirected"
"83";"349";"undirected"
"224";"350";"undirected"
"275";"351";"undirected"
"56";"352";"undirected"
"4";"353";"undirected"
"37";"354";"undirected"
"22";"355";"undirected"
"109";"356";"undirected"
"152";"357";"undirected"
"96";"358";"undirected"
"2";"359";"undirected"
"8";"360";"undirected"
"61";"361";"undirected"
"109";"362";"undirected"
"9";"363";"undirected"
"6";"364";"undirected"
"339";"365";"undirected"
"279";"366";"undirected"
"336";"367";"undirected"
"45";"368";"undirected"
"17";"369";"undirected"
"45";"370";"undirected"
"296";"371";"undirected"
"74";"372";"undirected"
"1";"373";"undirected"
