"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"5";"6";"undirected"
"3";"7";"undirected"
"4";"8";"undirected"
"8";"9";"undirected"
"5";"10";"undirected"
"8";"11";"undirected"
"5";"12";"undirected"
"8";"13";"undirected"
"8";"14";"undirected"
"5";"15";"undirected"
"8";"16";"undirected"
"3";"17";"undirected"
"14";"18";"undirected"
"5";"19";"undirected"
"2";"20";"undirected"
"8";"21";"undirected"
"8";"22";"undirected"
"18";"23";"undirected"
"11";"24";"undirected"
"5";"25";"undirected"
"22";"26";"undirected"
"26";"27";"undirected"
"5";"28";"undirected"
"5";"29";"undirected"
"4";"30";"undirected"
"11";"31";"undirected"
"24";"32";"undirected"
"3";"33";"undirected"
"29";"34";"undirected"
"22";"35";"undirected"
"29";"36";"undirected"
"20";"37";"undirected"
"18";"38";"undirected"
"28";"39";"undirected"
"18";"40";"undirected"
"6";"41";"undirected"
"23";"42";"undirected"
"8";"43";"undirected"
"16";"44";"undirected"
"8";"45";"undirected"
"8";"46";"undirected"
"14";"47";"undirected"
"11";"48";"undirected"
"42";"49";"undirected"
"35";"50";"undirected"
"18";"51";"undirected"
"37";"52";"undirected"
"5";"53";"undirected"
"26";"54";"undirected"
"12";"55";"undirected"
"4";"56";"undirected"
"23";"57";"undirected"
"23";"58";"undirected"
"37";"59";"undirected"
"4";"60";"undirected"
"4";"61";"undirected"
"5";"62";"undirected"
"26";"63";"undirected"
"27";"64";"undirected"
"32";"65";"undirected"
"10";"66";"undirected"
"35";"67";"undirected"
"7";"68";"undirected"
"53";"69";"undirected"
"5";"70";"undirected"
"5";"71";"undirected"
"2";"72";"undirected"
"64";"73";"undirected"
"4";"74";"undirected"
"59";"75";"undirected"
"32";"76";"undirected"
"49";"77";"undirected"
"61";"78";"undirected"
"8";"79";"undirected"
"28";"80";"undirected"
"28";"81";"undirected"
"50";"82";"undirected"
"16";"83";"undirected"
"32";"84";"undirected"
"5";"85";"undirected"
"31";"86";"undirected"
"18";"87";"undirected"
"23";"88";"undirected"
"34";"89";"undirected"
"33";"90";"undirected"
"5";"91";"undirected"
"30";"92";"undirected"
"18";"93";"undirected"
"59";"94";"undirected"
"3";"95";"undirected"
"51";"96";"undirected"
"69";"97";"undirected"
"8";"98";"undirected"
"30";"99";"undirected"
"64";"100";"undirected"
"8";"101";"undirected"
"11";"102";"undirected"
"22";"103";"undirected"
"11";"104";"undirected"
"41";"105";"undirected"
"22";"106";"undirected"
"5";"107";"undirected"
"23";"108";"undirected"
"35";"109";"undirected"
"105";"110";"undirected"
"53";"111";"undirected"
"75";"112";"undirected"
"4";"113";"undirected"
"36";"114";"undirected"
"18";"115";"undirected"
"49";"116";"undirected"
"13";"117";"undirected"
"54";"118";"undirected"
"4";"119";"undirected"
"11";"120";"undirected"
"22";"121";"undirected"
"33";"122";"undirected"
"1";"123";"undirected"
"8";"124";"undirected"
"60";"125";"undirected"
"95";"126";"undirected"
"69";"127";"undirected"
"5";"128";"undirected"
"29";"129";"undirected"
"45";"130";"undirected"
"11";"131";"undirected"
"5";"132";"undirected"
"60";"133";"undirected"
"88";"134";"undirected"
"22";"135";"undirected"
"107";"136";"undirected"
"68";"137";"undirected"
"18";"138";"undirected"
"88";"139";"undirected"
"23";"140";"undirected"
"8";"141";"undirected"
"28";"142";"undirected"
"4";"143";"undirected"
"8";"144";"undirected"
"51";"145";"undirected"
"23";"146";"undirected"
"46";"147";"undirected"
"5";"148";"undirected"
"18";"149";"undirected"
"23";"150";"undirected"
"3";"151";"undirected"
"146";"152";"undirected"
"8";"153";"undirected"
"5";"154";"undirected"
"11";"155";"undirected"
"49";"156";"undirected"
"60";"157";"undirected"
"22";"158";"undirected"
"155";"159";"undirected"
"5";"160";"undirected"
"44";"161";"undirected"
"158";"162";"undirected"
"146";"163";"undirected"
"29";"164";"undirected"
"105";"165";"undirected"
"5";"166";"undirected"
"18";"167";"undirected"
"8";"168";"undirected"
"135";"169";"undirected"
"27";"170";"undirected"
"60";"171";"undirected"
"3";"172";"undirected"
"148";"173";"undirected"
"154";"174";"undirected"
"14";"175";"undirected"
"11";"176";"undirected"
"105";"177";"undirected"
"162";"178";"undirected"
"97";"179";"undirected"
"8";"180";"undirected"
"3";"181";"undirected"
"77";"182";"undirected"
"5";"183";"undirected"
"8";"184";"undirected"
"60";"185";"undirected"
"11";"186";"undirected"
"14";"187";"undirected"
"33";"188";"undirected"
"11";"189";"undirected"
"169";"190";"undirected"
"83";"191";"undirected"
"158";"192";"undirected"
"107";"193";"undirected"
"81";"194";"undirected"
"79";"195";"undirected"
"56";"196";"undirected"
"78";"197";"undirected"
"54";"198";"undirected"
"146";"199";"undirected"
"3";"200";"undirected"
"137";"201";"undirected"
"162";"202";"undirected"
"5";"203";"undirected"
"30";"204";"undirected"
"11";"205";"undirected"
"5";"206";"undirected"
"11";"207";"undirected"
"32";"208";"undirected"
"131";"209";"undirected"
"203";"210";"undirected"
"46";"211";"undirected"
"174";"212";"undirected"
"14";"213";"undirected"
"36";"214";"undirected"
"18";"215";"undirected"
"165";"216";"undirected"
"11";"217";"undirected"
"199";"218";"undirected"
"29";"219";"undirected"
"54";"220";"undirected"
"1";"221";"undirected"
"47";"222";"undirected"
"36";"223";"undirected"
"155";"224";"undirected"
"130";"225";"undirected"
"8";"226";"undirected"
"163";"227";"undirected"
"142";"228";"undirected"
"90";"229";"undirected"
"5";"230";"undirected"
"117";"231";"undirected"
"23";"232";"undirected"
"23";"233";"undirected"
"79";"234";"undirected"
"18";"235";"undirected"
"202";"236";"undirected"
"111";"237";"undirected"
"117";"238";"undirected"
"209";"239";"undirected"
"49";"240";"undirected"
"151";"241";"undirected"
"171";"242";"undirected"
"238";"243";"undirected"
"137";"244";"undirected"
"107";"245";"undirected"
"22";"246";"undirected"
"60";"247";"undirected"
"137";"248";"undirected"
"32";"249";"undirected"
"242";"250";"undirected"
"5";"251";"undirected"
"35";"252";"undirected"
"78";"253";"undirected"
"251";"254";"undirected"
"198";"255";"undirected"
"11";"256";"undirected"
"98";"257";"undirected"
"19";"258";"undirected"
"1";"259";"undirected"
"229";"260";"undirected"
"93";"261";"undirected"
"4";"262";"undirected"
"28";"263";"undirected"
"19";"264";"undirected"
"130";"265";"undirected"
"247";"266";"undirected"
"46";"267";"undirected"
"29";"268";"undirected"
"16";"269";"undirected"
"180";"270";"undirected"
"37";"271";"undirected"
"82";"272";"undirected"
"53";"273";"undirected"
"119";"274";"undirected"
"151";"275";"undirected"
"107";"276";"undirected"
"250";"277";"undirected"
"175";"278";"undirected"
"175";"279";"undirected"
"49";"280";"undirected"
"19";"281";"undirected"
"99";"282";"undirected"
"18";"283";"undirected"
"16";"284";"undirected"
"11";"285";"undirected"
"51";"286";"undirected"
"22";"287";"undirected"
"11";"288";"undirected"
"124";"289";"undirected"
"35";"290";"undirected"
"130";"291";"undirected"
"59";"292";"undirected"
"8";"293";"undirected"
"94";"294";"undirected"
"52";"295";"undirected"
"139";"296";"undirected"
"55";"297";"undirected"
"14";"298";"undirected"
"193";"299";"undirected"
"95";"300";"undirected"
"35";"301";"undirected"
"44";"302";"undirected"
"36";"303";"undirected"
"285";"304";"undirected"
"113";"305";"undirected"
"41";"306";"undirected"
"14";"307";"undirected"
"110";"308";"undirected"
"5";"309";"undirected"
"54";"310";"undirected"
"80";"311";"undirected"
"205";"312";"undirected"
"196";"313";"undirected"
"169";"314";"undirected"
"3";"315";"undirected"
"235";"316";"undirected"
"184";"317";"undirected"
"300";"318";"undirected"
"8";"319";"undirected"
"6";"320";"undirected"
"27";"321";"undirected"
"119";"322";"undirected"
"76";"323";"undirected"
"101";"324";"undirected"
"34";"325";"undirected"
"8";"326";"undirected"
"300";"327";"undirected"
"202";"328";"undirected"
"5";"329";"undirected"
"31";"330";"undirected"
"145";"331";"undirected"
"261";"332";"undirected"
"239";"333";"undirected"
"222";"334";"undirected"
"297";"335";"undirected"
"20";"336";"undirected"
"100";"337";"undirected"
"158";"338";"undirected"
"261";"339";"undirected"
"14";"340";"undirected"
"96";"341";"undirected"
"11";"342";"undirected"
"40";"343";"undirected"
"28";"344";"undirected"
"148";"345";"undirected"
"95";"346";"undirected"
"14";"347";"undirected"
"29";"348";"undirected"
"302";"349";"undirected"
"51";"350";"undirected"
"19";"351";"undirected"
"155";"352";"undirected"
"172";"353";"undirected"
"100";"354";"undirected"
"328";"355";"undirected"
"151";"356";"undirected"
"204";"357";"undirected"
"107";"358";"undirected"
"162";"359";"undirected"
"202";"360";"undirected"
"272";"361";"undirected"
"29";"362";"undirected"
"249";"363";"undirected"
"28";"364";"undirected"
"34";"365";"undirected"
"134";"366";"undirected"
"318";"367";"undirected"
"361";"368";"undirected"
"41";"369";"undirected"
"8";"370";"undirected"
"348";"371";"undirected"
"20";"372";"undirected"
"204";"373";"undirected"
