"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"1";"6";"undirected"
"6";"7";"undirected"
"1";"8";"undirected"
"7";"9";"undirected"
"8";"10";"undirected"
"10";"11";"undirected"
"10";"12";"undirected"
"3";"13";"undirected"
"10";"14";"undirected"
"1";"15";"undirected"
"15";"16";"undirected"
"4";"17";"undirected"
"8";"18";"undirected"
"15";"19";"undirected"
"7";"20";"undirected"
"7";"21";"undirected"
"10";"22";"undirected"
"14";"23";"undirected"
"16";"24";"undirected"
"21";"25";"undirected"
"16";"26";"undirected"
"14";"27";"undirected"
"1";"28";"undirected"
"16";"29";"undirected"
"15";"30";"undirected"
"6";"31";"undirected"
"1";"32";"undirected"
"16";"33";"undirected"
"33";"34";"undirected"
"28";"35";"undirected"
"19";"36";"undirected"
"8";"37";"undirected"
"8";"38";"undirected"
"8";"39";"undirected"
"2";"40";"undirected"
"1";"41";"undirected"
"1";"42";"undirected"
"2";"43";"undirected"
"39";"44";"undirected"
"6";"45";"undirected"
"27";"46";"undirected"
"28";"47";"undirected"
"10";"48";"undirected"
"15";"49";"undirected"
"10";"50";"undirected"
"31";"51";"undirected"
"15";"52";"undirected"
"27";"53";"undirected"
"15";"54";"undirected"
"15";"55";"undirected"
"15";"56";"undirected"
"20";"57";"undirected"
"54";"58";"undirected"
"53";"59";"undirected"
"45";"60";"undirected"
"31";"61";"undirected"
"14";"62";"undirected"
"7";"63";"undirected"
"32";"64";"undirected"
"6";"65";"undirected"
"21";"66";"undirected"
"5";"67";"undirected"
"8";"68";"undirected"
"10";"69";"undirected"
"10";"70";"undirected"
"8";"71";"undirected"
"60";"72";"undirected"
"22";"73";"undirected"
"21";"74";"undirected"
"10";"75";"undirected"
"1";"76";"undirected"
"45";"77";"undirected"
"8";"78";"undirected"
"8";"79";"undirected"
"43";"80";"undirected"
"16";"81";"undirected"
"8";"82";"undirected"
"2";"83";"undirected"
"2";"84";"undirected"
"58";"85";"undirected"
"10";"86";"undirected"
"21";"87";"undirected"
"31";"88";"undirected"
"18";"89";"undirected"
"2";"90";"undirected"
"21";"91";"undirected"
"48";"92";"undirected"
"45";"93";"undirected"
"7";"94";"undirected"
"11";"95";"undirected"
"83";"96";"undirected"
"10";"97";"undirected"
"7";"98";"undirected"
"7";"99";"undirected"
"27";"100";"undirected"
