"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"5";"6";"undirected"
"3";"6";"undirected"
"1";"7";"undirected"
"6";"7";"undirected"
"1";"8";"undirected"
"5";"8";"undirected"
"3";"9";"undirected"
"7";"9";"undirected"
"5";"10";"undirected"
"1";"10";"undirected"
"8";"11";"undirected"
"7";"11";"undirected"
"10";"12";"undirected"
"6";"12";"undirected"
"11";"13";"undirected"
"7";"13";"undirected"
"4";"14";"undirected"
"7";"14";"undirected"
"7";"15";"undirected"
"10";"15";"undirected"
"7";"16";"undirected"
"10";"16";"undirected"
"4";"17";"undirected"
"12";"17";"undirected"
"14";"18";"undirected"
"10";"18";"undirected"
"5";"19";"undirected"
"4";"19";"undirected"
"17";"20";"undirected"
"11";"20";"undirected"
"3";"21";"undirected"
"17";"21";"undirected"
"7";"22";"undirected"
"11";"22";"undirected"
"3";"23";"undirected"
"15";"23";"undirected"
"3";"24";"undirected"
"21";"24";"undirected"
"9";"25";"undirected"
"12";"25";"undirected"
"12";"26";"undirected"
"9";"26";"undirected"
"18";"27";"undirected"
"12";"27";"undirected"
"15";"28";"undirected"
"18";"28";"undirected"
"11";"29";"undirected"
"28";"29";"undirected"
"16";"30";"undirected"
"13";"30";"undirected"
"3";"31";"undirected"
"23";"31";"undirected"
"7";"32";"undirected"
"14";"32";"undirected"
"19";"33";"undirected"
"27";"33";"undirected"
"24";"34";"undirected"
"17";"34";"undirected"
"5";"35";"undirected"
"1";"35";"undirected"
"6";"36";"undirected"
"28";"36";"undirected"
"32";"37";"undirected"
"14";"37";"undirected"
"19";"38";"undirected"
"3";"38";"undirected"
"22";"39";"undirected"
"17";"39";"undirected"
"33";"40";"undirected"
"32";"40";"undirected"
"31";"41";"undirected"
"15";"41";"undirected"
"5";"42";"undirected"
"3";"42";"undirected"
"16";"43";"undirected"
"6";"43";"undirected"
"16";"44";"undirected"
"12";"44";"undirected"
"19";"45";"undirected"
"33";"45";"undirected"
"7";"46";"undirected"
"28";"46";"undirected"
"32";"47";"undirected"
"15";"47";"undirected"
"17";"48";"undirected"
"3";"48";"undirected"
"45";"49";"undirected"
"12";"49";"undirected"
"5";"50";"undirected"
"7";"50";"undirected"
"12";"51";"undirected"
"13";"51";"undirected"
"28";"52";"undirected"
"3";"52";"undirected"
"32";"53";"undirected"
"33";"53";"undirected"
"3";"54";"undirected"
"30";"54";"undirected"
"6";"55";"undirected"
"10";"55";"undirected"
"45";"56";"undirected"
"52";"56";"undirected"
"42";"57";"undirected"
"23";"57";"undirected"
"45";"58";"undirected"
"39";"58";"undirected"
"17";"59";"undirected"
"51";"59";"undirected"
"45";"60";"undirected"
"53";"60";"undirected"
"10";"61";"undirected"
"61";"61";"undirected"
"3";"62";"undirected"
"19";"62";"undirected"
"10";"63";"undirected"
"49";"63";"undirected"
"7";"64";"undirected"
"19";"64";"undirected"
"1";"65";"undirected"
"4";"65";"undirected"
"3";"66";"undirected"
"30";"66";"undirected"
"7";"67";"undirected"
"24";"67";"undirected"
"3";"68";"undirected"
"64";"68";"undirected"
"63";"69";"undirected"
"15";"69";"undirected"
"32";"70";"undirected"
"21";"70";"undirected"
"49";"71";"undirected"
"18";"71";"undirected"
"12";"72";"undirected"
"34";"72";"undirected"
"62";"73";"undirected"
"19";"73";"undirected"
"21";"74";"undirected"
"17";"74";"undirected"
"50";"75";"undirected"
"10";"75";"undirected"
"45";"76";"undirected"
"14";"76";"undirected"
"32";"77";"undirected"
"47";"77";"undirected"
"27";"78";"undirected"
"71";"78";"undirected"
"13";"79";"undirected"
"17";"79";"undirected"
"67";"80";"undirected"
"9";"80";"undirected"
"17";"81";"undirected"
"24";"81";"undirected"
"3";"82";"undirected"
"52";"82";"undirected"
"7";"83";"undirected"
"1";"83";"undirected"
"3";"84";"undirected"
"10";"84";"undirected"
"63";"85";"undirected"
"18";"85";"undirected"
"80";"86";"undirected"
"9";"86";"undirected"
"76";"87";"undirected"
"11";"87";"undirected"
"43";"88";"undirected"
"11";"88";"undirected"
"51";"89";"undirected"
"7";"89";"undirected"
"32";"90";"undirected"
"30";"90";"undirected"
"63";"91";"undirected"
"50";"91";"undirected"
"7";"92";"undirected"
"58";"92";"undirected"
"1";"93";"undirected"
"23";"93";"undirected"
"11";"94";"undirected"
"5";"94";"undirected"
"69";"95";"undirected"
"27";"95";"undirected"
"42";"96";"undirected"
"5";"96";"undirected"
"17";"97";"undirected"
"40";"97";"undirected"
"3";"98";"undirected"
"5";"98";"undirected"
"19";"99";"undirected"
"13";"99";"undirected"
"12";"100";"undirected"
"49";"100";"undirected"
