"source";"target";"type"
"1";"5";"undirected"
"2";"3";"undirected"
"4";"5";"undirected"
"4";"3";"undirected"
"2";"6";"undirected"
"5";"6";"undirected"
"2";"7";"undirected"
"5";"7";"undirected"
"1";"8";"undirected"
"7";"8";"undirected"
"1";"9";"undirected"
"2";"9";"undirected"
"9";"10";"undirected"
"6";"10";"undirected"
"1";"11";"undirected"
"5";"11";"undirected"
"5";"12";"undirected"
"10";"12";"undirected"
"10";"13";"undirected"
"11";"13";"undirected"
"13";"14";"undirected"
"5";"14";"undirected"
"1";"15";"undirected"
"14";"15";"undirected"
"11";"16";"undirected"
"5";"16";"undirected"
"9";"17";"undirected"
"10";"17";"undirected"
"11";"18";"undirected"
"2";"18";"undirected"
"1";"19";"undirected"
"5";"19";"undirected"
"9";"20";"undirected"
"1";"20";"undirected"
"6";"21";"undirected"
"21";"21";"undirected"
"5";"22";"undirected"
"8";"22";"undirected"
"21";"23";"undirected"
"1";"23";"undirected"
"1";"24";"undirected"
"19";"24";"undirected"
"24";"25";"undirected"
"21";"25";"undirected"
"2";"26";"undirected"
"17";"26";"undirected"
"14";"27";"undirected"
"25";"27";"undirected"
"14";"28";"undirected"
"26";"28";"undirected"
"1";"29";"undirected"
"16";"29";"undirected"
"6";"30";"undirected"
"21";"30";"undirected"
"5";"31";"undirected"
"9";"31";"undirected"
"14";"32";"undirected"
"19";"32";"undirected"
"10";"33";"undirected"
"5";"33";"undirected"
"5";"34";"undirected"
"2";"34";"undirected"
"27";"35";"undirected"
"22";"35";"undirected"
"31";"36";"undirected"
"14";"36";"undirected"
"11";"37";"undirected"
"17";"37";"undirected"
"31";"38";"undirected"
"18";"38";"undirected"
"31";"39";"undirected"
"1";"39";"undirected"
"5";"40";"undirected"
"10";"40";"undirected"
"9";"41";"undirected"
"14";"41";"undirected"
"19";"42";"undirected"
"6";"42";"undirected"
"28";"43";"undirected"
"18";"43";"undirected"
"2";"44";"undirected"
"41";"44";"undirected"
"41";"45";"undirected"
"24";"45";"undirected"
"11";"46";"undirected"
"33";"46";"undirected"
"26";"47";"undirected"
"31";"47";"undirected"
"41";"48";"undirected"
"27";"48";"undirected"
"8";"49";"undirected"
"20";"49";"undirected"
"14";"50";"undirected"
"48";"50";"undirected"
"46";"51";"undirected"
"40";"51";"undirected"
"7";"52";"undirected"
"21";"52";"undirected"
"19";"53";"undirected"
"17";"53";"undirected"
"41";"54";"undirected"
"22";"54";"undirected"
"17";"55";"undirected"
"20";"55";"undirected"
"30";"56";"undirected"
"2";"56";"undirected"
"6";"57";"undirected"
"2";"57";"undirected"
"29";"58";"undirected"
"25";"58";"undirected"
"24";"59";"undirected"
"19";"59";"undirected"
"1";"60";"undirected"
"4";"60";"undirected"
"1";"61";"undirected"
"6";"61";"undirected"
"24";"62";"undirected"
"9";"62";"undirected"
"44";"63";"undirected"
"61";"63";"undirected"
"1";"64";"undirected"
"14";"64";"undirected"
"13";"65";"undirected"
"15";"65";"undirected"
"21";"66";"undirected"
"28";"66";"undirected"
"1";"67";"undirected"
"2";"67";"undirected"
"58";"68";"undirected"
"55";"68";"undirected"
"9";"69";"undirected"
"21";"69";"undirected"
"63";"70";"undirected"
"10";"70";"undirected"
"41";"71";"undirected"
"6";"71";"undirected"
"10";"72";"undirected"
"5";"72";"undirected"
"17";"73";"undirected"
"1";"73";"undirected"
"1";"74";"undirected"
"14";"74";"undirected"
"68";"75";"undirected"
"1";"75";"undirected"
"12";"76";"undirected"
"14";"76";"undirected"
"9";"77";"undirected"
"29";"77";"undirected"
"2";"78";"undirected"
"74";"78";"undirected"
"31";"79";"undirected"
"4";"79";"undirected"
"40";"80";"undirected"
"23";"80";"undirected"
"5";"81";"undirected"
"19";"81";"undirected"
"56";"82";"undirected"
"32";"82";"undirected"
"46";"83";"undirected"
"5";"83";"undirected"
"63";"84";"undirected"
"36";"84";"undirected"
"7";"85";"undirected"
"19";"85";"undirected"
"10";"86";"undirected"
"18";"86";"undirected"
"49";"87";"undirected"
"85";"87";"undirected"
"58";"88";"undirected"
"57";"88";"undirected"
"36";"89";"undirected"
"9";"89";"undirected"
"74";"90";"undirected"
"44";"90";"undirected"
"58";"91";"undirected"
"40";"91";"undirected"
"8";"92";"undirected"
"21";"92";"undirected"
"10";"93";"undirected"
"16";"93";"undirected"
"6";"94";"undirected"
"40";"94";"undirected"
"40";"95";"undirected"
"20";"95";"undirected"
"6";"96";"undirected"
"21";"96";"undirected"
"10";"97";"undirected"
"5";"97";"undirected"
"1";"98";"undirected"
"10";"98";"undirected"
"38";"99";"undirected"
"52";"99";"undirected"
"74";"100";"undirected"
"31";"100";"undirected"
"6";"101";"undirected"
"85";"101";"undirected"
"2";"102";"undirected"
"5";"102";"undirected"
"81";"103";"undirected"
"10";"103";"undirected"
"29";"104";"undirected"
"31";"104";"undirected"
"53";"105";"undirected"
"9";"105";"undirected"
"88";"106";"undirected"
"6";"106";"undirected"
"100";"107";"undirected"
"13";"107";"undirected"
"17";"108";"undirected"
"90";"108";"undirected"
"1";"109";"undirected"
"23";"109";"undirected"
"34";"110";"undirected"
"14";"110";"undirected"
"25";"111";"undirected"
"67";"111";"undirected"
"17";"112";"undirected"
"1";"112";"undirected"
"8";"113";"undirected"
"103";"113";"undirected"
"86";"114";"undirected"
"8";"114";"undirected"
"77";"115";"undirected"
"5";"115";"undirected"
"31";"116";"undirected"
"10";"116";"undirected"
"11";"117";"undirected"
"61";"117";"undirected"
"72";"118";"undirected"
"14";"118";"undirected"
"79";"119";"undirected"
"58";"119";"undirected"
"8";"120";"undirected"
"27";"120";"undirected"
"106";"121";"undirected"
"1";"121";"undirected"
"54";"122";"undirected"
"17";"122";"undirected"
"63";"123";"undirected"
"13";"123";"undirected"
"74";"124";"undirected"
"114";"124";"undirected"
"26";"125";"undirected"
"30";"125";"undirected"
"5";"126";"undirected"
"125";"126";"undirected"
"39";"127";"undirected"
"36";"127";"undirected"
"6";"128";"undirected"
"10";"128";"undirected"
"5";"129";"undirected"
"82";"129";"undirected"
"31";"130";"undirected"
"55";"130";"undirected"
"103";"131";"undirected"
"48";"131";"undirected"
"75";"132";"undirected"
"8";"132";"undirected"
"107";"133";"undirected"
"110";"133";"undirected"
"47";"134";"undirected"
"27";"134";"undirected"
"1";"135";"undirected"
"2";"135";"undirected"
"21";"136";"undirected"
"49";"136";"undirected"
"47";"137";"undirected"
"24";"137";"undirected"
"104";"138";"undirected"
"74";"138";"undirected"
"41";"139";"undirected"
"2";"139";"undirected"
"44";"140";"undirected"
"28";"140";"undirected"
"97";"141";"undirected"
"39";"141";"undirected"
"83";"142";"undirected"
"31";"142";"undirected"
"5";"143";"undirected"
"10";"143";"undirected"
"10";"144";"undirected"
"98";"144";"undirected"
"25";"145";"undirected"
"38";"145";"undirected"
"56";"146";"undirected"
"117";"146";"undirected"
"64";"147";"undirected"
"93";"147";"undirected"
"58";"148";"undirected"
"5";"148";"undirected"
"5";"149";"undirected"
"6";"149";"undirected"
"60";"150";"undirected"
"61";"150";"undirected"
"4";"151";"undirected"
"142";"151";"undirected"
"115";"152";"undirected"
"96";"152";"undirected"
"54";"153";"undirected"
"46";"153";"undirected"
"19";"154";"undirected"
"8";"154";"undirected"
"80";"155";"undirected"
"37";"155";"undirected"
"144";"156";"undirected"
"100";"156";"undirected"
"30";"157";"undirected"
"79";"157";"undirected"
"50";"158";"undirected"
"5";"158";"undirected"
"75";"159";"undirected"
"132";"159";"undirected"
"74";"160";"undirected"
"144";"160";"undirected"
"107";"161";"undirected"
"6";"161";"undirected"
"48";"162";"undirected"
"24";"162";"undirected"
"41";"163";"undirected"
"21";"163";"undirected"
"19";"164";"undirected"
"111";"164";"undirected"
"82";"165";"undirected"
"8";"165";"undirected"
"41";"166";"undirected"
"31";"166";"undirected"
"15";"167";"undirected"
"47";"167";"undirected"
"53";"168";"undirected"
"117";"168";"undirected"
"44";"169";"undirected"
"158";"169";"undirected"
"95";"170";"undirected"
"9";"170";"undirected"
"7";"171";"undirected"
"117";"171";"undirected"
"2";"172";"undirected"
"55";"172";"undirected"
"9";"173";"undirected"
"95";"173";"undirected"
"26";"174";"undirected"
"60";"174";"undirected"
"17";"175";"undirected"
"40";"175";"undirected"
"132";"176";"undirected"
"41";"176";"undirected"
"2";"177";"undirected"
"177";"177";"undirected"
"5";"178";"undirected"
"57";"178";"undirected"
"2";"179";"undirected"
"31";"179";"undirected"
"117";"180";"undirected"
"41";"180";"undirected"
"4";"181";"undirected"
"27";"181";"undirected"
"83";"182";"undirected"
"56";"182";"undirected"
"5";"183";"undirected"
"40";"183";"undirected"
"76";"184";"undirected"
"153";"184";"undirected"
"36";"185";"undirected"
"1";"185";"undirected"
"83";"186";"undirected"
"32";"186";"undirected"
"26";"187";"undirected"
"61";"187";"undirected"
"19";"188";"undirected"
"93";"188";"undirected"
"21";"189";"undirected"
"153";"189";"undirected"
